role,module,status,route,key_files,db_objects,feature_flag,gaps,owner
attorney-litigation,Doc Requests/Vault,🟡,/attorney/litigation/documents,Shared attorney documents,attorney_documents,,Case-specific organization missing,Vault Team
attorney-litigation,Pipelines,🔴,-,-,-,,No case pipeline,CRM Team
attorney-litigation,Tasks/Workflows,🔴,-,-,-,,No litigation workflows,Workflow Team
attorney-litigation,Scheduling,🔴,-,-,-,,No court scheduling,Scheduler Team
attorney-litigation,Billing/Stripe,🔴,-,-,-,,No litigation billing,Billing Team
attorney-litigation,Reports/PDF,🔴,-,-,-,,No case reports,Reports Team
attorney-litigation,Templates/Playbooks,🔴,-,-,-,,No litigation templates,Templates Team
attorney-litigation,Compliance,✅,/attorney/compliance,Shared CLE system,"attorney_cle_records,attorney_bar_status",,None,Compliance Team
attorney-litigation,Integrations,🔴,-,-,-,,No case management integrations,Integration Team
attorney-litigation,Marketplace,🔴,-,-,-,,No litigation marketplace,Marketplace Team
realtor,CRM/Households,🔴,-,-,-,,No client management,CRM Team
realtor,Onboarding,✅,/realtor/onboarding,RealtorOnboardingPage.tsx,realtor_onboarding,,None,Onboarding Team
realtor,Doc Requests/Vault,🔴,-,-,-,,No property documents system,Vault Team
realtor,Pipelines,🔴,-,-,-,,No property pipeline,CRM Team
realtor,Tasks/Workflows,🔴,-,-,-,,No real estate workflows,Workflow Team
realtor,Scheduling,🔴,-,-,-,,No showing scheduling,Scheduler Team
realtor,Billing/Stripe,🔴,-,-,-,,No commission tracking,Billing Team
realtor,Reports/PDF,🔴,-,-,-,,No property reports,Reports Team
realtor,Templates/Playbooks,🔴,-,-,-,,No real estate templates,Templates Team
realtor,Compliance,🔴,-,-,-,,No license tracking,Compliance Team
realtor,Integrations,🔴,-,-,-,,No MLS integrations,Integration Team
realtor,Marketplace,🔴,-,-,-,,No realtor marketplace,Marketplace Team
insurance-life,CRM/Households,🔴,-,-,-,,No client management,CRM Team
insurance-life,Onboarding,✅,/insurance/life/onboarding,InsuranceOnboardingPage.tsx,insurance_onboarding,,None,Onboarding Team
insurance-life,Doc Requests/Vault,🔴,-,-,-,,No policy documents,Vault Team
insurance-life,Pipelines,🔴,-,-,-,,No sales pipeline,CRM Team
insurance-life,Tasks/Workflows,🔴,-,-,-,,No underwriting workflows,Workflow Team
insurance-life,Scheduling,🔴,-,-,-,,No appointment scheduling,Scheduler Team
insurance-life,Billing/Stripe,🔴,-,-,-,,No commission tracking,Billing Team
insurance-life,Reports/PDF,🔴,-,-,-,,No insurance reports,Reports Team
insurance-life,Templates/Playbooks,🔴,-,-,-,,No insurance templates,Templates Team
insurance-life,Compliance,🟡,/insurance/compliance,CE tracking,"ce_courses,ce_tracking",,License tracking missing,Compliance Team
insurance-life,Integrations,🔴,-,-,-,,No carrier integrations,Integration Team
insurance-life,Marketplace,🔴,-,-,-,,No insurance marketplace,Marketplace Team
insurance-medicare-ltc,CRM/Households,🔴,-,-,-,,No client management,CRM Team
insurance-medicare-ltc,Onboarding,✅,/insurance/medicare/onboarding,MedicareOnboardingPage.tsx,medicare_onboarding,,None,Onboarding Team
insurance-medicare-ltc,Doc Requests/Vault,🔴,-,-,-,,No medicare documents,Vault Team
insurance-medicare-ltc,Pipelines,🔴,-,-,-,,No enrollment pipeline,CRM Team
insurance-medicare-ltc,Tasks/Workflows,🔴,-,-,-,,No medicare workflows,Workflow Team
insurance-medicare-ltc,Scheduling,🔴,-,-,-,,No appointment scheduling,Scheduler Team
insurance-medicare-ltc,Billing/Stripe,🔴,-,-,-,,No commission tracking,Billing Team
insurance-medicare-ltc,Reports/PDF,🔴,-,-,-,,No medicare reports,Reports Team
insurance-medicare-ltc,Templates/Playbooks,🔴,-,-,-,,No medicare templates,Templates Team
insurance-medicare-ltc,Compliance,🟡,/insurance/compliance,CE tracking,"ce_courses,ce_tracking",,AHIP certification tracking missing,Compliance Team
insurance-medicare-ltc,Integrations,🔴,-,-,-,,No CMS integrations,Integration Team
insurance-medicare-ltc,Marketplace,🔴,-,-,-,,No medicare marketplace,Marketplace Team
healthcare,CRM/Households,🔴,-,-,-,,No patient management,CRM Team
healthcare,Onboarding,✅,/healthcare/onboarding,HealthcareOnboardingPage.tsx,healthcare_onboarding,,None,Onboarding Team
healthcare,Doc Requests/Vault,✅,/healthcare/records,Healthcare documents system,"healthcare_documents,healthcare_document_access",,None,Vault Team
healthcare,Pipelines,🔴,-,-,-,,No patient pipeline,CRM Team
healthcare,Tasks/Workflows,🔴,-,-,-,,No healthcare workflows,Workflow Team
healthcare,Scheduling,🔴,-,-,-,,No appointment scheduling,Scheduler Team
healthcare,Billing/Stripe,🔴,-,-,-,,No medical billing,Billing Team
healthcare,Reports/PDF,🟡,/healthcare/reports,Health reports,health_recommendations,,Comprehensive reporting missing,Reports Team
healthcare,Templates/Playbooks,🔴,-,-,-,,No care plan templates,Templates Team
healthcare,Compliance,🔴,-,-,-,,No HIPAA compliance tracking,Compliance Team
healthcare,Integrations,🔴,-,-,-,,No EHR integrations,Integration Team
healthcare,Marketplace,🔴,-,-,-,,No healthcare marketplace,Marketplace Team
sports-agent,CRM/Households,🟡,/agents/roster,AgentsOS.tsx athlete roster,"athlete_roster,agent_athletes",,Family connections missing,CRM Team
sports-agent,Onboarding,✅,/agents/onboarding,SportsAgentOnboardingPage.tsx,sports_agent_onboarding,,None,Onboarding Team
sports-agent,Doc Requests/Vault,🟡,/agents/documents,"NIL documents,agreements","nil_agreements,agent_documents",,Contract templates missing,Vault Team
sports-agent,Pipelines,✅,/agents/partnerships,Partnership pipeline in AgentsOS,"agent_partnerships,campaign_pipeline",,None,CRM Team
sports-agent,Tasks/Workflows,🔴,-,-,-,,No NIL workflows,Workflow Team
sports-agent,Scheduling,🔴,-,-,-,,No meeting scheduling,Scheduler Team
sports-agent,Billing/Stripe,🔴,-,-,-,,No commission tracking,Billing Team
sports-agent,Reports/PDF,🔴,-,-,-,,No performance reports,Reports Team
sports-agent,Templates/Playbooks,🔴,-,-,-,,No NIL templates,Templates Team
sports-agent,Compliance,🟡,/agents/compliance,NIL compliance tracking,"nil_compliance,nil_disclosures",,State regulations missing,Compliance Team
sports-agent,Integrations,🔴,-,-,-,,No sports data integrations,Integration Team
sports-agent,Marketplace,🔴,-,-,-,,No sports marketplace,Marketplace Team
university,CRM/Households,🔴,-,-,-,,No athlete management,CRM Team
university,Onboarding,🟡,/nil/university,NILUniversity.tsx,university_onboarding,,Full onboarding flow missing,Onboarding Team
university,Doc Requests/Vault,🟡,/nil/university/documents,NIL documents,"nil_documents,nil_compliance",,Compliance documents missing,Vault Team
university,Pipelines,🔴,-,-,-,,No NIL approval pipeline,CRM Team
university,Tasks/Workflows,🔴,-,-,-,,No compliance workflows,Workflow Team
university,Scheduling,🔴,-,-,-,,No meeting scheduling,Scheduler Team
university,Billing/Stripe,🔴,-,-,-,,No revenue tracking,Billing Team
university,Reports/PDF,🔴,-,-,-,,No NIL reports,Reports Team
university,Templates/Playbooks,🔴,-,-,-,,No compliance templates,Templates Team
university,Compliance,🟡,/nil/university/compliance,Basic NIL compliance,"nil_compliance,nil_training_status",,NCAA rule tracking missing,Compliance Team
university,Integrations,🔴,-,-,-,,No student system integrations,Integration Team
university,Marketplace,🔴,-,-,-,,No university marketplace,Marketplace Team
